"","inst_height","yr_mon","x_f_mean","u_star_mean","wind_spd_mean","wind_spd_pk_mean","wind_dir_mean"
"1",2,"21-11",52.2554541815765,0.307268595193214,0.675629555890669,2.90554,120.2782432705
"2",2,"21-12",64.9625558268944,0.230637521773142,0.579000972425033,2.79878,112.778785833116
"3",2,"22-01",88.2221186963696,0.249331891786959,0.860751121304131,2.80547,75.7325349596814
"4",2,"22-02",78.6901851355393,0.227197496033562,0.697160307398932,2.13635,81.8247554843631
"5",3,"22-02",133.82575127633,0.222260122111801,0.657564311801242,2.65394,104.929049871056
"6",3,"22-03",122.318849377024,0.224655767242255,0.636824895378365,3.75706,132.028992760792
"7",3,"22-04",162.75837160358,0.161246563289582,0.519471174200164,1.64557,139.328172134701
"8",3,"22-05",159.229095167504,0.171672351128122,0.523689414923449,2.35836,134.936832892425
"9",3,"22-06",272.867189379967,0.10747739986014,0.416350602797203,1.11022,125.262784545455
"10",3,"22-07",154.641288285951,0.189852724025018,0.500107716482708,1.57183,125.122334418322
"11",3,"22-08",173.83848842179,0.178885466792595,0.511785986475255,1.73984,122.862448919154
"12",3,"22-09",173.783290309535,0.170140986658796,0.532831903030303,1.57005,113.281262191263
"13",3,"22-10",197.68489391126,0.20390024053066,0.609305013679245,2.17458,104.097932210692
"14",3,"22-11",184.618804939655,0.197324887760911,0.696085358870968,3.1547,92.2816630626186
"15",3,"22-12",127.208779482369,0.218222519223485,0.578890744933712,2.49152,135.182178111695
"16",3,"23-01",152.697739940232,0.196128343361823,0.647652439304843,2.44562,79.8381919344729
"17",3,"23-02",105.47817428945,0.287409884522822,0.698612569377593,2.89202,139.031661602075
"18",3,"23-03",201.010643288503,0.138729558685626,0.492473034511914,2.61185,123.840360833205
"19",3,"23-04",156.736521460293,0.17588651294484,0.537168846307829,2.3477,142.708536934164
"20",3,"23-05",201.070570740647,0.141969460730253,0.487910799105812,1.80685,124.197642679583
"21",3,"23-06",172.701268600921,0.16854928141238,0.495419098387097,1.98916,129.60601668701
"22",3,"23-07",180.475523910134,0.16658247815231,0.492780452184769,2.16811,134.422207483978
"23",3,"23-08",153.438333298949,0.164453913891145,0.448715070836718,1.485,134.103480836393
"24",15,"21-09",2602.24804311689,0.517158289655172,5.8678309137931,9.362239,179.65030862069
"25",15,"21-10",2056.36675144831,0.419611303763179,3.58461153406326,7.865644,199.402377199513
"26",15,"21-11",2126.74358825731,0.469373468652344,4.2510756703125,9.453896,198.6642565625
"27",15,"21-12",2120.54992654388,0.418211323692906,3.70085461059281,9.571333,216.777839403304
"28",15,"22-01",1927.59312227424,0.514785463041927,4.15688891543265,11.67514,221.257855813559
"29",15,"22-02",1941.96479278437,0.473260149788408,3.77743262787489,9.406449,224.772840572861
"30",15,"22-03",1820.8284775488,0.457179560904573,3.4386705693837,7.544594,208.611074519881
"31",15,"22-04",1732.97504084505,0.416822193312152,3.03565907196187,9.7014,219.789105450429
"32",15,"22-05",1676.02056078186,0.402439872347894,2.81943375600624,8.930895,214.766945978471
"33",15,"22-06",1706.42751675191,0.366991412036638,2.66323857661638,8.860097,219.539987030172
"34",15,"22-07",1517.00183517564,0.432726959049708,2.73706224232456,6.668425,214.618659682091
"35",15,"22-08",1631.92708087936,0.402610397935714,2.72595282942857,10.04775,213.937725437786
"36",15,"22-09",1620.669535912,0.399866527733236,2.76161387536443,7.401628,216.191891101822
"37",15,"22-10",1708.46879492066,0.413914927105263,2.99217448065015,8.84634,217.906258099381
"38",15,"22-11",1910.00871594655,0.401875540678439,3.36883554990706,9.16672,216.881965820446
"39",15,"22-12",2018.82118694501,0.423599330010288,3.72789014063786,9.311073,211.996834375514
"40",15,"23-01",2081.13607197828,0.405343096699097,3.5519194523975,8.027992,205.739401923558
"41",15,"23-02",1807.57367172776,0.519682743291352,4.02784875054576,9.278064,218.918020029891
"42",15,"23-03",1819.45381853699,0.331453462541985,2.5311773519084,8.455081,222.576893019389
"43",15,"23-04",1840.60004207307,0.369979589991561,2.88513496843882,8.444975,217.878596898481
"44",15,"23-05",1701.03131368592,0.339616996769784,2.43714324964029,8.231898,212.812211868777
"45",15,"23-06",1723.57844612676,0.343072173448845,2.47134215132013,6.353081,210.59471859967
"46",15,"23-07",1671.60653167832,0.371425240114007,2.55448356677524,7.717836,214.995035093404
"47",15,"23-08",1601.88222670421,0.401425293858521,2.61954672722401,6.940468,232.344642166131
